Body Name,Date,Transaction Number,Amount,Supplier,Expense Area,Directorate Name,Cost Centre Name,Subjective,Supplier Size,Merchant Category Code,Merchant Category Label
City of Westminster Council,13/01/2014,SCC:PCA:8229,3,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8229,23.1,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8230,1.95,TESCO CONVENIENCE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8231,7.1,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,13/01/2014,SCC:PCA:8231,11.36,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,13/01/2014,SCC:PCA:8231,15.76,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,13/01/2014,SCC:PCA:8231,33.47,TESCO STORE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,13/01/2014,SCC:PCA:8232,4.52,THE GOURMET HOTDOG,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8233,39.17,Trainline.com,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,13/01/2014,SCC:PCA:8233,43.45,Trainline.com,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,13/01/2014,SCC:PCA:8234,13.78,TWITTER ADVERTISING,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8235,4.85,WCPC LONDON BRIDGE ST,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8236,1.84,WESTMINSTER PARKING PA,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8237,35,WWW.PRUDENTIALRIDELOND,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8237,35,WWW.PRUDENTIALRIDELOND,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8237,35,WWW.PRUDENTIALRIDELOND,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8237,35,WWW.PRUDENTIALRIDELOND,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8237,35,WWW.PRUDENTIALRIDELOND,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8237,35,WWW.PRUDENTIALRIDELOND,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,13/01/2014,SCC:PCA:8238,13.3,WWW.REDSPOTTEDHANK,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8239,157.43,ALITALIA,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8239,157.43,ALITALIA,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8239,157.43,ALITALIA,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8240,93.09,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8240,11,Amazon EU,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8240,15.6,Amazon EU,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8241,70.99,Amazon Mktplce EU-UK,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8241,17.75,Amazon Mktplce EU-UK,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8241,12.7,Amazon Mktplce EU-UK,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8241,5.99,Amazon Mktplce EU-UK,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8241,6.79,Amazon Mktplce EU-UK,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8242,299.99,ARGOS LTD,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8243,5.35,ASDA STORES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8244,11.46,CLAYTON-FIRSTAID.,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8245,400,CORNER HOUSE HOTEL,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000272,Hotels
City of Westminster Council,14/01/2014,SCC:PCA:8246,8.9,FIRST CAPITAL CONN,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8247,8.9,GREATER ANGLIA T/O,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8248,27,IAN HOWARD,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8249,233.64,LINKEDIN,Transformation,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8250,120,LONDON BOROUGH OF,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8251,5,LONDON OVERGROUND-,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8252,5.5,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8252,5,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8252,7.3,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8252,16.4,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8252,5.5,LUL TICKET MACHINE,Childres Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8252,10,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8253,2,MARKS & SPENCER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,14/01/2014,SCC:PCA:8254,1.99,MCDONALDS REST,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8254,1.29,MCDONALDS REST,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8255,8.4,NEW SOUTHERN RAILW,Childres Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,14/01/2014,SCC:PCA:8256,84.25,POST OFFICE COUNTER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8256,60,POST OFFICE COUNTER,CHIEF EXECUTIVES,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8257,4.97,PRET A MANGER,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,14/01/2014,SCC:PCA:8257,6.48,PRET A MANGER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,14/01/2014,SCC:PCA:8258,1.7,RINGGO,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8258,0.9,RINGGO,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8259,12.64,RYMAN,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000625,Stationery & Office Products Suppliers
City of Westminster Council,14/01/2014,SCC:PCA:8260,15.35,SAINSBURYS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,14/01/2014,SCC:PCA:8261,12.9,SELFSERVE TICKET,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8261,20,SELFSERVE TICKET,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8262,32.78,SNAPPY SNAPS (SYDENHA,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8263,5.28,SUBWAY,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8264,4.57,TESCO PFS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8265,4.57,TESCO SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8266,3.33,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,14/01/2014,SCC:PCA:8266,4.39,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,14/01/2014,SCC:PCA:8266,8.94,TESCO STORE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,14/01/2014,SCC:PCA:8267,10,TFL CC/LEZ CHARGE,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000326,Local Government [UK Only]
City of Westminster Council,14/01/2014,SCC:PCA:8268,11,THCP MACHINES,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,14/01/2014,SCC:PCA:8269,12.12,WAITROSE 783,CHIEF EXECUTIVES,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000247,General Retailers
City of Westminster Council,14/01/2014,SCC:PCA:8270,45.79,WWW.GETTINGPERSONAL.CO,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8271,71.29,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8271,9.22,Amazon EU,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8271,19.66,Amazon EU,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8272,-34.28,Amazon Mktplce EU-UK,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8272,16.24,Amazon Mktplce EU-UK,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8272,8.62,Amazon Mktplce EU-UK,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8272,14.71,Amazon Mktplce EU-UK,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8272,-20.9,Amazon Mktplce EU-UK,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8273,15.98,ARGOS LTD,Finance,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8273,49.95,ARGOS LTD,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8274,7.65,CAFFE NERO,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8275,3.12,CAFFE NERO - 351,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8276,9.95,CHIC DRY CLEANER,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8277,1,COMPANIES HOUSE,Community Protection,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8278,7.8,CO-OP GROUP,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8279,56.49,CURRYS.DIGITAL,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000691,White Goods Suppliers
City of Westminster Council,15/01/2014,SCC:PCA:8280,10,FGW TICKET OFFICE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8281,-34.98,H&M BOND ST,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8282,4.99,HAMMERSMITH,Childres Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8283,140,HEMMING GROUP LTD,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Medium Company,V000000435,Other Information Service Providers
City of Westminster Council,15/01/2014,SCC:PCA:8284,68,HMCOURTS-SERVICE.G,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8285,22.5,HOUSE OF FRASER,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8286,4.75,HUNGRY YETI,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8287,27.6,JCM LOCKSMITHS LTD,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8288,189.95,LINKEDIN,Information Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8289,8.8,LONDON OVERGROUND-,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8290,30,LUL TICKET MACHINE,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8290,5,LUL TICKET MACHINE,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8290,10,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8290,10,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8290,10,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8291,14.6,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8292,4.15,MARKS & SPENCER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8292,5.2,MARKS & SPENCER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8292,5.5,MARKS & SPENCER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8292,2.75,MARKS & SPENCER,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8293,6.19,MARKS & SPENCER SSPLTD,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8294,4.69,MCDONALDS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,15/01/2014,SCC:PCA:8294,4.69,MCDONALDS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,15/01/2014,SCC:PCA:8295,222.5,NESPRESSO UK/INET,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Medium Company,V000000447,Other Non-Alcoholic Beverage Suppliers
City of Westminster Council,15/01/2014,SCC:PCA:8296,23.2,NEW SOUTHERN RAILW,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8296,100.8,NEW SOUTHERN RAILW,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8297,10,OYSTER RENEW WEB,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,15/01/2014,SCC:PCA:8297,50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,15/01/2014,SCC:PCA:8297,50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,15/01/2014,SCC:PCA:8298,98.84,PAYPAL TRAINLINE,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8299,30,PORCHESTER NEWS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8300,6.22,POST OFFICE COUNTER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8301,6.6,PRET A MANGER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,15/01/2014,SCC:PCA:8301,7.28,PRET A MANGER,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,15/01/2014,SCC:PCA:8302,5,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8302,2.4,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8302,6.9,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8303,167.4,SEA HOTEL,Transformation,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Medium Company,V000000272,Hotels
City of Westminster Council,15/01/2014,SCC:PCA:8303,167.4,SEA HOTEL,Transformation,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Medium Company,V000000272,Hotels
City of Westminster Council,15/01/2014,SCC:PCA:8304,4.17,TESCO STORE,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8304,7.09,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8304,14.8,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8304,19.04,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8305,157.5,THE LOVEFONE COMPANY L,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8306,29.78,Trainline.com,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8306,46.82,Trainline.com,Transformation,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,15/01/2014,SCC:PCA:8307,6.24,WAITROSE 783,CHIEF EXECUTIVES,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000247,General Retailers
City of Westminster Council,15/01/2014,SCC:PCA:8308,6,WASABI,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8309,79.7,WEST COAST TRAINS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8310,5.45,WRAP IT UP,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8311,35.96,ZARA BOND STREET,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,15/01/2014,SCC:PCA:8312,17.99,ZARA LONDON VICTORIA,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8313,26.14,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8313,12.6,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8313,12.05,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8313,10.7,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8313,66.82,Amazon EU,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8313,28.76,Amazon EU,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8314,36.95,Amazon Mktplce EU-UK,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8314,8.99,Amazon Mktplce EU-UK,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8314,564.61,Amazon Mktplce EU-UK,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8314,4.9,Amazon Mktplce EU-UK,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8314,5.66,Amazon Mktplce EU-UK,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8315,2.99,BOOTS,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8316,3.41,COSTA COFFEE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8317,6.66,CURRYS.DIGITAL,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000691,White Goods Suppliers
City of Westminster Council,16/01/2014,SCC:PCA:8318,30,East Midlands,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,16/01/2014,SCC:PCA:8319,122.5,EC MAINLINE CO INT,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000549,Rail Companies
City of Westminster Council,16/01/2014,SCC:PCA:8320,148,EUROSTAR INTERNET,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000549,Rail Companies
City of Westminster Council,16/01/2014,SCC:PCA:8320,113,EUROSTAR INTERNET,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000549,Rail Companies
City of Westminster Council,16/01/2014,SCC:PCA:8320,362,EUROSTAR INTERNET,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000549,Rail Companies
