Body Name,Date,Transaction Number,Amount,Supplier,Expense Area,Directorate Name,Cost Centre Name,Subjective,Supplier Size,Merchant Category Code,Merchant Category Label
City of Westminster Council,06/01/2014,SCC:PCA:8030,91.23,Amazon Web Services,Information Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8030,15.5,Amazon Web Services,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8031,20,ARGOS LTD,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8032,5.78,EAT,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8033,119.16,EC VEHICLE RENTAL,Procurement,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8034,47.19,GLS EDUCATIONAL,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8035,23.4,GRO HM PASSPORT OFFICE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8036,10,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,06/01/2014,SCC:PCA:8036,20,LUL TICKET MACHINE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,06/01/2014,SCC:PCA:8036,52.7,LUL TICKET MACHINE,Built Environment,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,06/01/2014,SCC:PCA:8037,7.3,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8038,13.6,NEW SOUTHERN RAILW,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,06/01/2014,SCC:PCA:8039,40,OYSTER AUTOSETTLE,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8039,40,OYSTER AUTOSETTLE,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8040,40,OYSTER AUTOTOPUP,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8040,40,OYSTER AUTOTOPUP,Procurement,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8040,40,OYSTER AUTOTOPUP,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8040,20,OYSTER AUTOTOPUP,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8041,40,OYSTER BUS AUTOTOP,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8041,40,OYSTER BUS AUTOTOP,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8042,-50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8042,-50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8042,-50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8042,20,OYSTER RENEW WEB,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8042,-20,OYSTER RENEW WEB,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8042,-50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,06/01/2014,SCC:PCA:8043,6,PAYPAL FACEBOOKIRE,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8044,4.2,PRET A MANGER,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000564,"Restaurants, Public Houses & Cafes"
City of Westminster Council,06/01/2014,SCC:PCA:8045,500,QUEENS HOTEL,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Small Company,V000000272,Hotels
City of Westminster Council,06/01/2014,SCC:PCA:8046,34.39,SAINSBURYS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,06/01/2014,SCC:PCA:8047,13.84,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8047,3,SAINSBURYS SACAT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8048,156.56,SAINSBURYS TO YOU,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8049,9,SMART N UP,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8050,5.6,SOUTHBANK CENTRE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8051,5.47,TESCO STORE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,06/01/2014,SCC:PCA:8051,40.19,TESCO STORE,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,Large Company,V000000247,General Retailers
City of Westminster Council,06/01/2014,SCC:PCA:8052,10,TFL CC/LEZ CHARGE,Housing,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000326,Local Government [UK Only]
City of Westminster Council,06/01/2014,SCC:PCA:8053,132,THE BELL INN,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8054,5,THE PEN SHOP,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8055,440,UEL.AC.UK,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8056,6.34,UPPER CRUST,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8056,6.49,UPPER CRUST,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8057,22,Virgintrains.co.uk,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,06/01/2014,SCC:PCA:8058,10.2,WEST COAST TRAINS,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8059,11.48,WH SMITH,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8060,15.2,WILKINSON,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8061,161.16,WWW.CIPS.ORG,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,06/01/2014,SCC:PCA:8062,45.83,WWW.HEALTHANDCARE.CO.U,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8063,135,ANCHOR EXHIBITIONS & E,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8064,-330,ARGOS DIRECT,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8065,49.99,ARGOS LTD,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8066,80,CITY OF LONDON CORPORA,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8067,270,DOD`S PARLIAMENTARY CO,Procurement,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8068,50,HOBBS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8068,50,HOBBS,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8069,195,LAMBETH PCN PAYMENTS,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8070,1.8,LEWISHAM PKGFINE,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8071,8.9,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,07/01/2014,SCC:PCA:8071,7.3,LUL TICKET MACHINE,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,07/01/2014,SCC:PCA:8072,15,LUL TICKET OFFICE.,Libraries & Culture,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8072,116.8,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8072,50,LUL TICKET OFFICE.,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8073,4.59,MCDONALDS REST.,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8073,4.99,MCDONALDS REST.,Adult Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8074,16.4,NEW SOUTHERN RAILW,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000549,Rail Companies
City of Westminster Council,07/01/2014,SCC:PCA:8075,-50,OYSTER RENEW WEB,Community Protection-Street Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,V000000467,Other Travel & Tourism Service Providers
City of Westminster Council,07/01/2014,SCC:PCA:8076,12.2,PAYBYPHONE PARKING,Community Protection-Premises Management,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8077,3.85,Photobox Limited,Childrens Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8078,12.44,POST OFFICE COUNTER,Communications & Strategy,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
City of Westminster Council,07/01/2014,SCC:PCA:8079,77,ROADRUNNERS,Children Services,,Unknown PCARD Cost Centre,Unknown PCARD Subjective,,,
