date,northern_hem,southern_hem,mean_global
2014.5151,65.126,54.504,67.494
2014.5422,62.662,54.108,65.445
2014.5694,66.721,44.493,60.46
2014.5965,69.963,45.888,61.535
2014.6237,75.364,52.268,66.421
2014.6508,83.605,54.813,70.177
2014.678,88.856,48.737,67.697
2014.7051,87.648,47.872,65.864
2014.7323,75.591,44.034,58.023
2014.7594,79.244,46.929,60.736
2014.7866,83.396,55.52,67.344
2014.8137,82.41,58.394,68.78
2014.8409,79.392,53.893,65.301
2014.868,70.305,58.685,65.015
2014.8951,59.157,55.438,59.381
2014.9223,59.013,57.644,61.591
2014.9494,63.004,68.561,70.723
2014.9766,56.99,70.551,70.522
2015.0037,49.183,67.742,66.662
2015.0309,39.398,69.746,64.804
2015.058,31.524,69.317,62.115
2015.0852,33.878,77.533,68.589
2015.1123,29.822,81.37,69.745
2015.1395,33.825,86.893,75.007
2015.1666,34.251,85.865,
2015.1938,33.765,75.001,
2015.2209,28.41,74.568,
2015.2481,28.377,82.965,
2015.2752,33.571,81.627,
2015.3024,42.266,80.659,
2015.3295,43.258,79.339,
2015.3567,39.843,70.164,
2015.3838,40.691,68.148,
2015.411,49.984,69.008,
2015.4381,47.774,75.158,
2015.4653,59.384,74.333,
2015.4924,71.99,65.995,
2015.5196,69.026,60.68,
2015.5467,71.222,60.551,
2015.5739,77.134,61.226,
2015.601,88.087,60.193,
2015.6281,87.809,63.81,
2015.6553,91.575,64.703,
2015.6824,97.315,60.227,
2015.7096,90.066,61.848,
2015.7367,92.49,62.786,
2015.7639,99.108,66.773,
2015.791,96.789,71.575,
2015.8182,92.405,74.234,
2015.8453,81.278,72.443,
2015.8725,79.341,67.228,
2015.8996,78.108,74.586,
2015.9268,76.599,77.518,
2015.9539,69.691,77.618,
2015.9811,59.957,76.646,
2016.0082,46.712,77.585,
